THACODE,THANAME,Node,DisttoRiver,WL_correction,threshold,drain_eff_low,drain_eff_high,DISTNode,DISTloc,DIVNode,Divloc,SWirriNode
100409,Amtali,N340,24032.26237,0,50,0.2,0.5,N304.5,N304.5,N304,N304,N340
100419,Bamna,N305.5,19172.0341,0,50,0.2,0.5,N304.5,N304.5,N304,N304,N305.5
100428,Barguna Sadar,N306,21532.11613,0,50,0.2,0.5,N304.5,N304.5,N304,N304,N306
100447,Betagi,N305.5,8250.670478,0,50,0.2,0.5,N304.5,N304.5,N304,N304,N305.5
100485,Patharghata,N306,13934.76004,0,50,0.2,0.5,N304.5,N304.5,N304,N304,N306
100602,Agailjhara,N301.75,17636.89383,0,50,0.2,0.5,N304,N304,N304,N304,N301.75
100603,Babuganj,N304,14090.67411,0,50,0.2,0.5,N304,N304,N304,N304,N304
100607,Bakerganj,N305,15671.35399,0,50,0.2,0.5,N304,N304,N304,N304,N305
100610,Banari Para,N303,26830.60794,0,50,0.2,0.5,N304,N304,N304,N304,N303
100632,Gaurnadi,N302,9628.287312,0,50,0.2,0.5,N304,N304,N304,N304,N302
100636,Hizla,N322.5,13050.60185,0,50,0.2,0.5,N304,N304,N304,N304,N322.5
100651,Barisal Sadar (Kotwali),N304,6446.725585,0,50,0.2,0.5,N304,N304,N304,N304,N304
100662,Mehendiganj,N304,10142.27798,0,50,0.2,0.5,N304,N304,N304,N304,N304
100669,Muladi,N302,5643.773814,0,50,0.2,0.5,N304,N304,N304,N304,N302
100694,Wazirpur,N302,22021.42828,0,50,0.2,0.5,N304,N304,N304,N304,N302
100918,Bhola Sadar,N305,13712.8888,0,50,0.2,0.5,N350,N350,N304,N304,N305
100921,Burhanuddin,N350,16769.90028,0,50,0.2,0.5,N350,N350,N304,N304,N350
100925,Char Fasson,N340,49605.41425,0,50,0.2,0.5,N350,N350,N304,N304,N340
100929,Daulatkhan,N350,15432.43127,0,50,0.2,0.5,N350,N350,N304,N304,N350
100954,Lalmohan,N350,30032.23574,0,50,0.2,0.5,N350,N350,N304,N304,N350
100965,Manpura,N350,39753.35716,0,50,0.2,0.5,N350,N350,N304,N304,N350
100991,Tazumuddin,N350,14664.18607,0,50,0.2,0.5,N350,N350,N304,N304,N350
104240,Jhalokati Sadar,N303,19653.77777,0,50,0.2,0.5,N304.5,N304.5,N304,N304,N303
104243,Kanthalia,N304.5,7919.182664,0,50,0.2,0.5,N304.5,N304.5,N304,N304,N304.5
104273,Nalchity,N304.5,20586.27223,0,50,0.2,0.5,N304.5,N304.5,N304,N304,N304.5
104284,Rajapur,N303,11305.65826,0,50,0.2,0.5,N304.5,N304.5,N304,N304,N303
107838,Bauphal,N305,17426.36163,0,50,0.2,0.5,N305.5,N305.5,N304,N304,N305
107852,Dashmina,N305.5,34184.37274,0,50,0.2,0.5,N305.5,N305.5,N304,N304,N305.5
107855,Dumki,N305.5,19008.50076,0,50,0.2,0.5,N305.5,N305.5,N304,N304,N305.5
107857,Galachipa,N340,26510.4231,0,50,0.2,0.5,N305.5,N305.5,N304,N304,N340
107866,Kala Para,N340,9795.079372,0,50,0.2,0.5,N305.5,N305.5,N304,N304,N340
107876,Mirzaganj,N305.5,1955.792616,0,50,0.2,0.5,N305.5,N305.5,N304,N304,N305.5
107895,Patuakhali Sadar,N305.5,10415.45414,0,50,0.2,0.5,N305.5,N305.5,N304,N304,N305.5
107914,Bhandaria,N303,14807.98918,0,50,0.2,0.5,N303,N303,N304,N304,N303
107947,Kawkhali,N303,3699.337475,0,50,0.2,0.5,N303,N303,N304,N304,N303
107958,Mathbaria,N304.5,28788.10753,0,50,0.2,0.5,N303,N303,N304,N304,N304.5
107976,Nazirpur,N276,20462.73862,0,50,0.2,0.5,N303,N303,N304,N304,N276
107980,Pirojpur Sadar,N303,5412.19226,0,50,0.2,0.5,N303,N303,N304,N304,N303
107987,Nesarabad (Swarupkati),N303,16027.53921,0,50,0.2,0.5,N303,N303,N304,N304,N303
107990,Zianagar,N303,16656.11497,0,50,0.2,0.5,N303,N303,N304,N304,N303
200304,Alikadam,N5000,68526.7718,0,50,0.2,0.5,N5000,N5000,N4002,N4002,N5000
200314,Bandarban Sadar,N5000,2808.661277,0,50,0.2,0.5,N5000,N5000,N4002,N4002,N5000
200351,Lama,N5001,40550.69934,0,50,0.2,0.5,N5000,N5000,N4002,N4002,N5001
200373,Naikhongchhari,N5001,78231.97348,0,50,0.2,0.5,N5000,N5000,N4002,N4002,N5001
200389,Rowangchhari,N5000,13161.97758,0,50,0.2,0.5,N5000,N5000,N4002,N4002,N5000
200391,Ruma,N5000,30156.4133,0,50,0.2,0.5,N5000,N5000,N4002,N4002,N5000
200395,Thanchi,N5000,69932.13548,0,50,0.2,0.5,N5000,N5000,N4002,N4002,N5000
201202,Akhaura,N120,30801.17778,0,50,0.2,0.5,N120,N120,N4002,N4002,N120
201204,Banchharampur,N1001,24066.45511,0,50,0.2,0.5,N120,N120,N4002,N4002,N1001
201207,Bijoynagar,N120,25385.12206,0,50,0.2,0.5,N120,N120,N4002,N4002,N120
201213,Brahmanbaria Sadar,N120,16822.93305,0,50,0.2,0.5,N120,N120,N4002,N4002,N120
201233,Ashuganj,N120,4296.482976,0,50,0.2,0.5,N120,N120,N4002,N4002,N120
201263,Kasba,N1001,21022.9183,0,50,0.2,0.5,N120,N120,N4002,N4002,N1001
201285,Nabinagar,N120,19184.42781,0,50,0.2,0.5,N120,N120,N4002,N4002,N120
201290,Nasirnagar,N40,20689.92507,0,50,0.2,0.5,N120,N120,N4002,N4002,N40
201294,Sarail,N40,14672.4561,0,50,0.2,0.5,N120,N120,N4002,N4002,N40
201322,Chandpur Sadar,N320,6487.436288,0,50,0.2,0.5,N2001,N2001,N4002,N4002,N320
201345,Faridganj,N2003,15269.41136,0,50,0.2,0.5,N2001,N2001,N4002,N4002,N2003
201347,Haim Char,N321,5533.821469,0,50,0.2,0.5,N2001,N2001,N4002,N4002,N321
201349,Hajiganj,N2003,2296.86495,0,50,0.2,0.5,N2001,N2001,N4002,N4002,N2003
201358,Kachua,N2003,12497.50293,0,50,0.2,0.5,N2001,N2001,N4002,N4002,N2003
201376,Matlab Dakshin,N2003,15574.14105,0,50,0.2,0.5,N2001,N2001,N4002,N4002,N2003
201379,Matlab Uttar,N160,15334.77325,0,50,0.2,0.5,N2001,N2001,N4002,N4002,N160
201395,Shahrasti,N2003,11346.69515,0,50,0.2,0.5,N2001,N2001,N4002,N4002,N2003
201504,Anowara,N5002,8849.280569,0,50,0.2,0.5,N4001,N4001,N4002,N4002,N5002
201506,Bayejid Bostami,N4001,8668.370473,0,50,0.2,0.5,N4001,N4001,N4002,N4002,N4001
201508,Banshkhali,N5002,12887.39525,0,50,0.2,0.5,N4001,N4001,N4002,N4002,N5002
